min_dist,identit
0.55212206,diego
0.4948011,Nomura
0.4750487,Nomura
0.5654412,Nomura
0.48028234,Nomura
0.41815886,Nomura
0.48272514,Nomura
0.45937634,Nomura
0.45799395,diego
0.45896345,Nomura
0.521692,diego
0.49196517,Nomura
0.40965077,Nomura
0.44746837,Nomura
0.45065182,Nomura
0.46746525,Nomura
0.48610145,Nomura
0.5926168,Nomura
0.5456217,Nomura
0.46753475,Nomura
0.42307687,Hibiki
0.4848957,Nomura
0.45622063,Karen
0.4461411,Karen
0.4972112,Hibiki
0.5105039,Nomura
0.4102524,Nomura
0.37861058,Nomura
0.65259886,Nomura
0.726004,Nomura
0.44686523,Nomura
0.7377364,Nomura
0.4477042,Hibiki
0.39315337,Nomura
0.50528634,Nomura
0.6255517,Nomura
0.5253816,Nomura
0.57646096,Nomura
0.54592156,Nomura
0.504209,Nomura
0.4993772,Monieer
0.51791817,Monieer
0.58154035,Hibiki
0.49242666,Hibiki
0.6050133,Nomura
0.6129787,Monieer
0.6470432,Nomura
0.5776483,Monieer
0.53441846,Nomura
0.6024766,Nomura
0.6829754,Nomura
0.5630271,diego
0.49706048,Nomura
0.52785367,Nomura
0.50747937,Nomura
0.48277783,Nomura
0.48355645,Nomura
0.462185,Nomura
0.4678966,Nomura
0.47894087,Nomura
0.5179762,Nomura
0.4868983,Nomura
0.5691202,diego
0.59680283,diego
0.5701029,diego
0.56975263,Nomura
0.47890404,Nomura
0.481555,Nomura
0.4693915,Nomura
0.5173035,Nomura
0.49750736,Nomura
0.5088215,Nomura
0.575185,Nomura
0.4972257,Nomura
0.5360831,Nomura
0.53737986,Nomura
0.58128506,Nomura
0.41372058,Nomura
0.4688053,Nomura
0.5213569,Nomura
0.5787962,Nomura
0.43487704,Nomura
0.44752395,Nomura
0.43928254,Nomura
0.48007154,Nomura
0.33939227,Nomura
0.42728356,Nomura
0.53195536,Nomura
0.2976105,Nomura
0.5100133,Nomura
0.55722535,Nomura
0.45186907,Nomura
0.36481395,Nomura
0.34102774,Nomura
0.3503701,Nomura
0.43669996,Nomura
0.39685696,Nomura
0.41794214,Nomura
0.44911024,Nomura
0.49276933,Nomura
0.5632166,Nomura
0.52519476,Nomura
0.4857399,Nomura
0.43470883,Nomura
0.51740044,Nomura
0.5789712,Nomura
0.5395499,Nomura
0.5136126,Nomura
0.5461898,Nomura
0.53493756,Nomura
0.477245,Nomura
0.5734039,Nomura
0.49490678,Nomura
0.6081653,Nomura
0.59845287,Nomura
0.5968827,Nomura
0.49892637,Nomura
0.44488153,Nomura
0.34341028,Nomura
0.50619495,Nomura
0.34379914,Nomura
0.51154953,Nomura
0.5300411,Nomura
0.45804194,Nomura
0.6097088,Nomura
0.4201754,Nomura
0.3918243,Nomura
0.40129519,Nomura
0.43044513,Nomura
0.52012205,Nomura
0.53730756,Nomura
0.55531937,Hibiki
0.49173066,Nomura
0.43214175,Nomura
0.60122323,Hibiki
0.47379944,Nomura
0.46955368,Nomura
0.44051257,Nomura
0.4113095,Nomura
0.434133,Nomura
0.48228806,Nomura
0.4542009,Nomura
0.45257568,Nomura
0.4765054,Nomura
0.56642145,Nomura
0.4690767,Nomura
0.5523156,Nomura
0.48980498,Nomura
0.7006782,Monieer
0.68820316,Nomura
0.70383173,Karen
0.6819882,diego
0.59465337,diego
0.61256635,diego
0.5321765,diego
0.5095723,diego
0.5663454,diego
0.5667893,diego
0.47428596,diego
0.5125089,diego
0.52697927,diego
0.5442966,diego
0.5690091,diego
0.6265132,diego
0.50594723,diego
0.6431412,Monieer
0.42070115,diego
0.3935246,diego
0.41878632,diego
0.39967215,diego
0.3980483,diego
0.45285624,diego
0.4317148,diego
0.50057536,diego
0.4437562,diego
0.4213957,diego
0.43081245,diego
0.48016763,diego
0.49229005,diego
0.46137777,diego
0.54121137,diego
0.5084057,diego
0.43868908,diego
0.6001065,diego
0.5236554,diego
0.5388553,diego
0.56512725,diego
0.4958679,diego
0.8197287,diego
0.74233776,diego
0.7751149,diego
0.62062955,Karen
0.7350342,Karen
0.6127674,Karen
0.73655933,Karen
0.7618144,Karen
0.7404717,Karen
0.6920512,Karen
0.69574887,Karen
0.7090191,Karen
0.73816943,Karen
0.7181936,Karen
0.7231713,Karen
0.6711127,Karen
0.7592219,Karen
0.7429881,Nomura
0.7235673,Karen
0.67740536,Nomura
0.7311787,diego
0.7435128,diego
0.7005403,Nomura
0.71177715,Karen
0.655301,Nomura
0.72862476,Karen
0.7177246,Nomura
0.6569919,Nomura
0.70858747,Nomura
0.73041344,Karen
0.6722436,Nomura
0.6976925,Nomura
0.6935285,Karen
0.7166939,Nomura
0.7125762,Monieer
0.637527,diego
0.6172273,Monieer
0.506397,diego
0.66381043,diego
0.68500507,Nomura
0.75712234,Karen
0.67675644,Karen
0.6656932,Karen
0.7530049,diego
0.67444664,Nomura
0.72897637,Nomura
0.6854757,Nomura
0.69619876,Karen
0.6650654,Nomura
0.6970568,diego
0.67942506,Karen
0.68057567,Nomura
0.65583384,Karen
0.6216617,Karen
0.624283,Karen
0.6780899,Karen
0.5701576,Monieer
0.5740521,Karen
0.66299826,Karen
0.700872,diego
0.635054,Monieer
0.6371539,Nomura
0.71339715,diego
0.6964833,diego
0.68233496,diego
0.72974527,diego
0.7086683,Karen
0.70209134,Karen
0.73278195,diego
0.6928664,Karen
0.69737107,diego
0.7510106,diego
0.7156733,Nomura
0.73802525,diego
0.74760747,diego
0.72910464,Nomura
0.6750658,Karen
0.572973,Monieer
0.5413816,Monieer
0.5686798,Monieer
0.5516027,Monieer
0.54937094,Monieer
0.5581367,Monieer
0.5603107,Monieer
0.55541056,Monieer
0.5864195,Monieer
0.57034093,Monieer
0.60453993,Monieer
0.58158153,Nomura
0.55780536,Monieer
0.5468961,Nomura
0.6128671,Monieer
0.5750806,Monieer
0.59283066,Monieer
0.57528085,Monieer
0.64358366,Karen
0.63812226,Nomura
0.57046604,Monieer
0.56455135,Monieer
0.5992829,Monieer
0.55283177,Monieer
0.56496894,Monieer
0.52600664,Nomura
0.6119149,Monieer
0.5534691,Monieer
0.57636875,Monieer
0.5849769,Monieer
0.53770924,Monieer
0.60194814,diego
0.6211829,Karen
0.6194691,diego
0.5890473,Karen
0.63908166,Nomura
0.6130481,Karen
0.6775597,Nomura
0.57500356,Nomura
0.579234,Nomura
0.70814973,Nomura
0.65208375,Nomura
0.5462743,Nomura
0.6221746,Nomura
0.6967314,diego
0.55172265,Nomura
0.5956964,Nomura
0.58025414,Karen
0.6106675,Karen
0.64985055,Karen
0.5492445,Nomura
0.5579659,Nomura
0.63693213,diego
0.60566103,Nomura
0.623086,Nomura
0.631628,Nomura
0.61026835,diego
0.4889733,Nomura
0.51680225,Nomura
0.5249844,Nomura
0.54768676,Nomura
0.58258796,Nomura
0.5541716,diego
0.5743253,Nomura
0.6306607,diego
0.56713736,diego
0.6622179,diego
0.64268136,diego
0.6783152,Karen
0.70400196,diego
0.63477063,diego
0.5776655,diego
0.608897,diego
0.5332624,diego
0.60842353,diego
0.615135,diego
0.58870673,diego
0.6143229,diego
0.6006914,diego
0.5750003,diego
0.6421351,diego
0.68350315,diego
0.62498647,diego
0.6703975,diego
0.6202791,diego
0.6854669,diego
0.6412536,diego
0.66391385,diego
0.6890125,Karen
0.6159921,Karen
0.63587856,Karen
0.62989163,diego
0.619608,Nomura
0.5888574,diego
0.6286191,diego
0.5991751,diego
0.53630966,diego
0.6304277,Karen
0.6422948,Karen
0.63856006,Karen
0.66735643,diego
0.63958454,diego
0.64415455,Karen
0.6070589,Karen
0.60075444,Karen
0.67278755,Karen
0.56496435,Karen
0.71741974,diego
0.5707084,Nomura
0.6096652,Nomura
0.6294584,Karen
0.51175463,diego
0.6534331,diego
0.65708596,diego
0.7400593,Karen
0.70375216,Karen
0.74005264,Karen
0.72081435,Karen
0.6738641,diego
0.7167755,diego
0.60768986,diego
0.64835495,diego
0.5776043,diego
0.58375555,diego
0.5742509,diego
0.5838904,diego
0.6219484,Monieer
0.58089346,Nomura
0.60604614,Nomura
0.6881623,Nomura
0.6692408,Nomura
0.63063085,Nomura
0.639063,Karen
0.62506247,Nomura
0.6696301,diego
0.538813,Nomura
0.6124487,Karen
0.6202467,diego
0.6849755,diego
